CVEGEO,year,crime_count,observed_g,z_score,cluster,p_sim,significant,state,municipality
07088,2015,0.0,9.057788691854029e-05,-0.131953317640072,ns,0.293,False,Chiapas,Sunuapa
07089,2015,133.0,0.00013118592072333899,-0.11455451810640777,ns,0.423,False,Chiapas,Tapachula
07090,2015,0.0,5.032104828807794e-06,-0.16800167854073111,ns,0.093,False,Chiapas,Tapalapa
07091,2015,0.0,0.0,-0.17012217035841692,CS,0.001,True,Chiapas,Tapilula
07092,2015,2.0,0.00010064614827190563,-0.12770534405643372,ns,0.432,False,Chiapas,Tecpatán
07093,2015,0.0,0.0001293969813122004,-0.11559523790363845,ns,0.395,False,Chiapas,Tenejapa
07094,2015,1.0,0.00018115942028985507,-0.09378098736193388,ns,0.282,False,Chiapas,Teopisca
07096,2015,0.0,6.901172336650688e-05,-0.14104113971586837,ns,0.456,False,Chiapas,Tila
07097,2015,12.0,0.00014898628923473397,-0.1073139953931258,ns,0.309,False,Chiapas,Tonalá
07098,2015,0.0,0.00013802344673301378,-0.11196010907331987,ns,0.38,False,Chiapas,Totolapa
07099,2015,5.0,0.000184529081783289,-0.09235344680017764,ns,0.305,False,Chiapas,La Trinitaria
07100,2015,0.0,2.0128419315231176e-05,-0.1616402030876736,ns,0.257,False,Chiapas,Tumbalá
07101,2015,377.0,0.00017578019362864404,-0.09549721005526789,ns,0.311,False,Chiapas,Tuxtla Gutiérrez
07102,2015,2.0,0.0007347168823849112,0.13947632920669897,ns,0.118,False,Chiapas,Tuxtla Chico
07103,2015,5.0,0.0008052178114179886,0.16917321061108168,ns,0.112,False,Chiapas,Tuzantán
07104,2015,1.0,0.0003287707997852925,-0.031579929374552715,ns,0.156,False,Chiapas,Tzimol
07105,2015,1.0,0.00012077294685990338,-0.11922687472040801,ns,0.209,False,Chiapas,Unión Juárez
07106,2015,3.0,4.193673926754968e-05,-0.15244088586008314,ns,0.19,False,Chiapas,Venustiano Carranza
07107,2015,1.0,0.0001375469672571122,-0.11215857267638743,ns,0.35,False,Chiapas,Villa Corzo
07108,2015,12.0,0.00017364956008778112,-0.09692363638360271,ns,0.369,False,Chiapas,Villaflores
07109,2015,1.0,4.428341384863124e-05,-0.15145833204114187,ns,0.399,False,Chiapas,Yajalón
07110,2015,0.0,0.00017713008997403436,-0.09548085837587572,ns,0.28,False,Chiapas,San Lucas
07111,2015,0.0,0.00020128419315231175,-0.08530249765098376,ns,0.292,False,Chiapas,Zinacantán
07112,2015,0.0,2.875488473604453e-05,-0.15800507425735502,ns,0.203,False,Chiapas,San Juan Cancuc
07113,2015,1.0,1.5096618357487922e-05,-0.16375717759773772,ns,0.207,False,Chiapas,Aldama
07114,2015,0.0,6.0385257945693524e-05,-0.14467626854618695,ns,0.391,False,Chiapas,Benemérito de las Américas
07115,2015,0.0,7.044946760330912e-05,-0.14043528491081533,ns,0.36,False,Chiapas,Maravilla Tenejapa
07116,2015,0.0,6.0385257945693524e-05,-0.14467626854618695,ns,0.391,False,Chiapas,Marqués de Comillas
07117,2015,0.0,4.025683863046235e-05,-0.1531582358169303,ns,0.474,False,Chiapas,Montecristo de Guerrero
07118,2015,0.0,0.00019457472004723468,-0.08812982007456487,ns,0.222,False,Chiapas,San Andrés Duraznal
07119,2015,1.0,2.0128824476650564e-05,-0.1616366869845315,ns,0.396,False,Chiapas,Santiago el Pinar
07120,2015,0.0,4.025683863046235e-05,-0.1531582358169303,ns,0.37,False,,
07120,2015,0.0,4.025683863046235e-05,-0.1531582358169303,ns,0.37,False,Chiapas,Capitán Luis Ángel Vidal
07121,2015,0.0,7.648799339787846e-05,-0.1378906947295923,ns,0.441,False,,
07121,2015,0.0,7.648799339787846e-05,-0.1378906947295923,ns,0.441,False,Chiapas,Rincón Chamula San Pedro
07122,2015,0.0,0.0001610273545218494,-0.10226643219247038,ns,0.265,False,,
07122,2015,0.0,0.0001610273545218494,-0.10226643219247038,ns,0.265,False,Chiapas,El Parral
07123,2015,0.0,0.00014760840831169527,-0.10792107703963259,ns,0.248,False,,
07123,2015,0.0,0.00014760840831169527,-0.10792107703963259,ns,0.248,False,Chiapas,Emiliano Zapata
07124,2015,0.0,0.0001782802853634761,-0.09499617453183325,ns,0.331,False,,
07124,2015,0.0,0.0001782802853634761,-0.09499617453183325,ns,0.331,False,Chiapas,Mezcalapa
07125,2015,0.0,3.220547090436988e-05,-0.1565510227252276,ns,0.297,False,,
07125,2015,0.0,3.220547090436988e-05,-0.1565510227252276,ns,0.297,False,Chiapas,Honduras de la Sierra
08001,2015,11.0,0.00955448819350571,3.8551968945608737,HS,0.001,True,Chihuahua,Ahumada
08002,2015,9.0,0.004029289280537468,1.52750760096146,HS,0.021,True,Chihuahua,Aldama
08003,2015,2.0,0.0004629722820507659,0.024969897808213515,ns,0.223,False,Chihuahua,Allende
08004,2015,1.0,0.00933977455716586,3.7655119286733076,HS,0.012,True,Chihuahua,Aquiles Serdán
08005,2015,2.0,0.007862477103001269,3.142937614999565,HS,0.012,True,Chihuahua,Ascensión
08006,2015,0.0,0.00024154103178277407,-0.06833856310949712,ns,0.19,False,Chihuahua,Bachíniva
08007,2015,0.0,3.270868138725066e-05,-0.15633897354345905,ns,0.217,False,Chihuahua,Balleza
08008,2015,0.0,5.535315311688573e-05,-0.14679676036387282,ns,0.498,False,Chihuahua,Batopilas de Manuel Gómez Morín
08009,2015,5.0,5.0326113213624286e-05,-0.14889975110531475,ns,0.406,False,Chihuahua,Bocoyna
08010,2015,4.0,0.0040605166518567085,1.5408222640330314,HS,0.021,True,Chihuahua,Buenaventura
08011,2015,12.0,7.60590665762906e-05,-0.13803741523080865,ns,0.432,False,Chihuahua,Camargo
08012,2015,0.0,6.0385257945693524e-05,-0.14467626854618695,ns,0.464,False,Chihuahua,Carichí
08013,2015,1.0,4.528985507246377e-05,-0.15103423391850065,ns,0.305,False,Chihuahua,Casas Grandes
08014,2015,0.0,5.3675784840616464e-05,-0.14750359096976806,ns,0.417,False,Chihuahua,Coronado
08015,2015,0.0,0.00013083472554900263,-0.11498938309858536,ns,0.299,False,Chihuahua,Coyame del Sotol
08016,2015,0.0,0.00014760840831169527,-0.10792107703963259,ns,0.247,False,Chihuahua,La Cruz
08017,2015,31.0,2.3018270752409725e-05,-0.16032168358190665,ns,0.161,False,Chihuahua,Cuauhtémoc
08018,2015,1.0,0.00011741814278046161,-0.12064053512921215,ns,0.392,False,Chihuahua,Cusihuiriachi
08019,2015,1383.0,6.901597029552638e-05,-0.1409695865331538,ns,0.394,False,Chihuahua,Chihuahua
08020,2015,0.0,1.5096314486423381e-05,-0.16376069490535944,ns,0.208,False,Chihuahua,Chínipas
08021,2015,69.0,0.00019484533311833158,-0.08789609069523643,ns,0.216,False,Chihuahua,Delicias
08022,2015,0.0,2.0128419315231176e-05,-0.1616402030876736,ns,0.211,False,Chihuahua,Dr. Belisario Domínguez
08023,2015,0.0,9.560999174734808e-05,-0.12983282582238617,ns,0.354,False,Chihuahua,Galeana
08024,2015,1.0,0.004753757380568975,1.8330381498380788,HS,0.019,True,Chihuahua,Santa Isabel
08025,2015,0.0,2.516052414403897e-05,-0.1595197112699878,ns,0.305,False,Chihuahua,Gómez Farías
08026,2015,1.0,0.00013285024154589372,-0.11413769724871319,ns,0.333,False,Chihuahua,Gran Morelos
08027,2015,9.0,1.7615558060879368e-05,-0.16266896894908994,ns,0.093,False,Chihuahua,Guachochi
08028,2015,1.0,0.007805958132045088,3.119186389768065,HS,0.012,True,Chihuahua,Guadalupe
08029,2015,1.0,3.2709339774557165e-05,-0.15633546045151608,ns,0.219,False,Chihuahua,Guadalupe y Calvo
08030,2015,0.0,8.05136772609247e-06,-0.1667293834501196,ns,0.096,False,Chihuahua,Guazapares
08031,2015,3.0,9.170166986504198e-05,-0.1314716117901539,ns,0.477,False,Chihuahua,Guerrero
08032,2015,158.0,3.028895664640672e-05,-0.15690065091285338,ns,0.282,False,Chihuahua,Hidalgo del Parral
08033,2015,0.0,0.0006481351019504438,0.10299717575951789,ns,0.139,False,Chihuahua,Huejotitán
08034,2015,0.0,3.354736552538529e-05,-0.1559855582405114,ns,0.282,False,Chihuahua,Ignacio Zaragoza
08035,2015,1.0,0.00011741814278046161,-0.12064053512921215,ns,0.389,False,Chihuahua,Janos
08036,2015,14.0,5.285199428191757e-05,-0.14780828162296417,ns,0.354,False,Chihuahua,Jiménez
08037,2015,1923.0,9.771486801513184e-05,-0.13103947966556784,ns,0.314,False,Chihuahua,Juárez
08038,2015,1.0,0.0001845142243692968,-0.09236732695312978,ns,0.302,False,Chihuahua,Julimes
08039,2015,0.0,0.00010735156968123293,-0.12488501158111924,ns,0.299,False,Chihuahua,López
08040,2015,3.0,1.34197565656159e-05,-0.16445698673161566,ns,0.109,False,Chihuahua,Madera
08041,2015,0.0,3.2205470904369874e-05,-0.15655102272522764,ns,0.301,False,Chihuahua,Maguarichi
