CVEGEO,year,crime_count,local_I,quadrant_code,cluster,p_sim,significant,state,municipality
08019,2015,1383.0,-1.6390329589364763,4,ns,0.405,False,Chihuahua,Chihuahua
08020,2015,0.0,0.027836082375954332,3,ns,0.261,False,Chihuahua,Chínipas
08021,2015,69.0,-0.036562765409870294,4,ns,0.216,False,Chihuahua,Delicias
08022,2015,0.0,0.027475489495366667,3,ns,0.247,False,Chihuahua,Dr. Belisario Domínguez
08023,2015,0.0,0.02206659628655166,3,ns,0.343,False,Chihuahua,Galeana
08024,2015,1.0,-0.2961740634115389,2,LH,0.019,True,Chihuahua,Santa Isabel
08025,2015,0.0,0.027114896614779,3,ns,0.346,False,Chihuahua,Gómez Farías
08026,2015,1.0,0.01843066077616168,3,ns,0.33,False,Chihuahua,Gran Morelos
08027,2015,9.0,0.01524099279669187,3,ns,0.111,False,Chihuahua,Guachochi
08028,2015,1.0,-0.5039767191876171,2,LH,0.012,True,Chihuahua,Guadalupe
08029,2015,1.0,0.02524854303041089,3,ns,0.233,False,Chihuahua,Guadalupe y Calvo
08030,2015,0.0,0.028340912408777074,3,ns,0.114,False,Chihuahua,Guazapares
08031,2015,3.0,0.019003162872112615,3,ns,0.483,False,Chihuahua,Guerrero
08032,2015,158.0,-0.18408992273519387,4,ns,0.255,False,Chihuahua,Hidalgo del Parral
08033,2015,0.0,-0.017526502001974177,2,ns,0.139,False,Chihuahua,Huejotitán
08034,2015,0.0,0.02651390848046622,3,ns,0.311,False,Chihuahua,Ignacio Zaragoza
08035,2015,1.0,0.019481322698089533,3,ns,0.382,False,Chihuahua,Janos
08036,2015,14.0,0.007582337082178607,3,ns,0.369,False,Chihuahua,Jiménez
08037,2015,1923.0,-2.105877802923162,4,ns,0.329,False,Chihuahua,Juárez
08038,2015,1.0,0.014913227385359745,3,ns,0.3,False,Chihuahua,Julimes
08039,2015,0.0,0.02122521289851377,3,ns,0.286,False,Chihuahua,López
08040,2015,3.0,0.023773051292828352,3,ns,0.141,False,Chihuahua,Madera
08041,2015,0.0,0.026610066581956273,3,ns,0.335,False,Chihuahua,Maguarichi
08042,2015,0.0,0.019542446122437995,3,ns,0.291,False,Chihuahua,Manuel Benavides
08043,2015,0.0,0.02651390848046622,3,ns,0.46,False,Chihuahua,Matachí
08044,2015,0.0,-0.01896887352432485,2,ns,0.138,False,Chihuahua,Matamoros
08045,2015,19.0,3.6844880992654688e-06,3,ns,0.167,False,Chihuahua,Meoqui
08046,2015,0.0,0.024590746450665335,3,ns,0.492,False,Chihuahua,Morelos
08047,2015,0.0,0.028340912408777074,3,ns,0.115,False,Chihuahua,Moris
08048,2015,2.0,-0.15848169506429594,2,LH,0.031,True,Chihuahua,Namiquipa
08049,2015,0.0,0.026033117973016,3,ns,0.363,False,Chihuahua,Nonoava
08050,2015,14.0,0.008028386868157697,3,ns,0.34,False,Chihuahua,Nuevo Casas Grandes
08051,2015,2.0,0.024301803752633057,3,ns,0.256,False,Chihuahua,Ocampo
08052,2015,5.0,0.017555818700477954,3,ns,0.477,False,Chihuahua,Ojinaga
08053,2015,0.0,0.027475489495366667,3,ns,0.355,False,Chihuahua,Praxedis G. Guerrero
08054,2015,0.0,-0.3801387027209323,2,LH,0.017,True,Chihuahua,Riva Palacio
08055,2015,0.0,-0.24044502078127,2,LH,0.027,True,Chihuahua,Rosales
08056,2015,1.0,0.026790275198457197,3,ns,0.11,False,Chihuahua,Rosario
08057,2015,0.0,0.028052438104306934,3,ns,0.175,False,Chihuahua,San Francisco de Borja
08058,2015,0.0,0.021994477710434127,3,ns,0.375,False,Chihuahua,San Francisco de Conchos
08059,2015,1.0,-0.010211296834654085,2,ns,0.173,False,Chihuahua,San Francisco del Oro
08060,2015,6.0,-0.01991224767500776,2,ns,0.11,False,Chihuahua,Santa Bárbara
08061,2015,2.0,-0.17523216014650073,2,LH,0.031,True,Chihuahua,Satevó
08062,2015,10.0,0.006220473525940059,3,ns,0.351,False,Chihuahua,Saucillo
08063,2015,0.0,0.026834435485433034,3,ns,0.183,False,Chihuahua,Temósachic
08064,2015,1.0,0.026790275198457197,3,ns,0.212,False,Chihuahua,El Tule
08065,2015,1.0,0.024049418010819324,3,ns,0.418,False,Chihuahua,Urique
08066,2015,0.0,0.028196675256542,3,ns,0.055,False,Chihuahua,Uruachi
08067,2015,0.0,-0.006729320891806318,2,ns,0.199,False,Chihuahua,Valle de Zaragoza
09002,2015,293.0,9.656471770834184,1,HH,0.003,True,Ciudad de México,Azcapotzalco
09003,2015,813.0,27.30001837919665,1,HH,0.002,True,Ciudad de México,Coyoacán
09004,2015,164.0,2.4513409346742945,1,HH,0.02,True,Ciudad de México,Cuajimalpa de Morelos
09005,2015,525.0,10.142726849358532,1,HH,0.004,True,Ciudad de México,Gustavo A. Madero
09006,2015,174.0,6.740129005437155,1,HH,0.001,True,Ciudad de México,Iztacalco
09007,2015,651.0,12.452343813905497,1,HH,0.005,True,Ciudad de México,Iztapalapa
09008,2015,58.0,0.7588951758033278,1,HH,0.017,True,Ciudad de México,La Magdalena Contreras
09009,2015,9.0,-0.043381788163733094,2,ns,0.073,False,Ciudad de México,Milpa Alta
09010,2015,480.0,12.279588268196077,1,HH,0.002,True,Ciudad de México,Álvaro Obregón
09011,2015,37.0,0.17481916525578617,1,HH,0.031,True,Ciudad de México,Tláhuac
09012,2015,405.0,3.995889282722131,1,HH,0.03,True,Ciudad de México,Tlalpan
09013,2015,99.0,2.0615548083823616,1,HH,0.013,True,Ciudad de México,Xochimilco
09014,2015,858.0,35.223393321249986,1,HH,0.001,True,Ciudad de México,Benito Juárez
09015,2015,1077.0,31.61632122378569,1,HH,0.001,True,Ciudad de México,Cuauhtémoc
09016,2015,431.0,13.239466514892285,1,HH,0.001,True,Ciudad de México,Miguel Hidalgo
09017,2015,334.0,10.83480243452462,1,HH,0.01,True,Ciudad de México,Venustiano Carranza
10001,2015,1.0,-0.013441592805798732,2,ns,0.173,False,Durango,Canatlán
10002,2015,0.0,0.024230153570077666,3,ns,0.432,False,Durango,Canelas
10003,2015,0.0,0.02483114170439044,3,ns,0.465,False,Durango,Coneto de Comonfort
10004,2015,0.0,0.02330863843079807,3,ns,0.442,False,Durango,Cuencamé
10005,2015,191.0,-0.2066042343128276,4,ns,0.418,False,Durango,Durango
10006,2015,0.0,-0.08750212614344381,2,ns,0.074,False,Durango,General Simón Bolívar
10007,2015,85.0,0.47951030970041647,1,HH,0.041,True,Durango,Gómez Palacio
10008,2015,6.0,-0.018952069421405496,2,ns,0.121,False,Durango,Guadalupe Victoria
